belief-propagation-50 c 3160
belief-propagation-200 c 49364
belief-propagation-300 c 135556
belief-propagation-400 c 169992
new-heat-transfer-80 c 4615
new-heat-transfer-120 c 20293
min-max-tictactoe c 2886
min-max-tictactoe-big c 21468
8queens-11 c 284
8queens-12 c 1421
8queens-13 c 7902
8queens-14 c 47895
shortest-usairports500 c 691
shortest-oclinks c 6999
shortest-uspowergrid c 55326
shortest-email c 13472
shortest-twitter c 27217
min-max-tictactoe python 79154
8queens-11 python 5782
8queens-12 python 34537
8queens-13 python 220080
8queens-14 python 1509658
shortest-usairports500 python 9288
shortest-oclinks python 112697
shortest-uspowergrid python 607760
shortest-email python 132003
shortest-twitter python 225448
shortest-orkut python 1190481
shortest-orkut c 281591
shortest-livejournal c 221910

belief-propagation-50 graphlab 3417
belief-propagation-200 graphlab 61738
belief-propagation-300 graphlab 169793
belief-propagation-400 graphlab 216345
shortest-usairports500 ligra 174
shortest-oclinks ligra 2372
shortest-uspowergrid ligra 16657
shortest-email ligra 4364
shortest-twitter ligra 7424
shortest-orkut ligra 64500
shortest-livejournal ligra 45000

shortest-oclinks th1 51408 -> 51408
shortest-uspowergrid th1 311989 -> 311989
shortest-email th1 27957 -> 27957
new-heat-transfer-80 th1 33589 -> 33589
new-heat-transfer-120 th1 143523 -> 143523
belief-propagation-50 th1 4005 -> 4005
belief-propagation-200 th1 67325 -> 67325
belief-propagation-300 th1 183553 -> 183553
belief-propagation-400 th1 229977 -> 229977
min-max-tictactoe th1 21871 -> 21871
min-max-tictactoe-big th1 189106 -> 189106
8queens-11 th1 513 -> 513
8queens-12 th1 4385 -> 4385
8queens-13 th1 39430 -> 39430
8queens-14 th1 307436 -> 307436
shortest-twitter th1 233603 -> 233603
shortest-usairports500 th1 1906 -> 1906
shortest-orkut th1 467038 -> 467038
shortest-livejournal th1 972560 -> 972560
