shortest-email ligra1 4173 1960
shortest-email ligra2 3413 1610
shortest-email ligra4 2896 1380
shortest-email ligra6 2700 1330
shortest-email ligra8 2680 1310
shortest-email ligra10 2661 1280
shortest-email ligra12 2642 1260
shortest-email ligra14 2500 1280
shortest-email ligra16 2550 1220
shortest-email ligra18 2536 1240
shortest-email ligra20 2576 1220
shortest-email ligra22 2487 1170
shortest-email ligra24 2392 1140
shortest-email ligra26 2401 1150
shortest-email ligra28 2602 1180
shortest-email ligra30 2362 1170
shortest-email ligra32 2485 1210

shortest-oclinks ligra1 4915 1320
shortest-oclinks ligra2 3441 1700
shortest-oclinks ligra4 3273 1570
shortest-oclinks ligra6 2906 1450
shortest-oclinks ligra8 2876 1390
shortest-oclinks ligra10 2904 1430
shortest-oclinks ligra12 2876 1420
shortest-oclinks ligra14 3011 1570
shortest-oclinks ligra16 3171 1570
shortest-oclinks ligra18 3325 1680
shortest-oclinks ligra20 3249 1740
shortest-oclinks ligra22 3491 1720
shortest-oclinks ligra24 3846 1920
shortest-oclinks ligra26 4032 2000
shortest-oclinks ligra28 4122 2070
shortest-oclinks ligra30 4268 2000
shortest-oclinks ligra32 4495 2350

shortest-twitter ligra1 8829 3660
shortest-twitter ligra2 6674 3000
shortest-twitter ligra4 4925 2230
shortest-twitter ligra6 4172 1780
shortest-twitter ligra8 3697 1670
shortest-twitter ligra10 3333 1430
shortest-twitter ligra12 3013 1300
shortest-twitter ligra14 2945 1240
shortest-twitter ligra16 2849 1240
shortest-twitter ligra18 2680 1150
shortest-twitter ligra20 2579 1100
shortest-twitter ligra22 2420 1050
shortest-twitter ligra24 2440 1000
shortest-twitter ligra26 2446 1000
shortest-twitter ligra28 2336 950
shortest-twitter ligra30 2393 940
shortest-twitter ligra32 2312 940

shortest-uspowergrid ligra1 16142 9030
shortest-uspowergrid ligra2 14000 9480
shortest-uspowergrid ligra4 14000 9290
shortest-uspowergrid ligra6 14480 9580
shortest-uspowergrid ligra8 16159 10500
shortest-uspowergrid ligra10 15909 11400
shortest-uspowergrid ligra12 17909 11300
shortest-uspowergrid ligra14 17909 11200
shortest-uspowergrid ligra16 21159 13800
shortest-uspowergrid ligra18 20659 13800
shortest-uspowergrid ligra20 22200 15000
shortest-uspowergrid ligra22 23000 15200
shortest-uspowergrid ligra24 24250 16400
shortest-uspowergrid ligra26 26250 16800
shortest-uspowergrid ligra28 26750 18000
shortest-uspowergrid ligra30 29250 18000
shortest-uspowergrid ligra32 31000 19200

shortest-orkut ligra1 62500 9100
shortest-orkut ligra2 48000 7410
shortest-orkut ligra4 42100 5820
shortest-orkut ligra6 39000 5340
shortest-orkut ligra8 36000 4230
shortest-orkut ligra10 32900 3670
shortest-orkut ligra12 31220 3250
shortest-orkut ligra14 30780 2950
shortest-orkut ligra16 30259 2760
shortest-orkut ligra18 29900 2620
shortest-orkut ligra20 28990 2450
shortest-orkut ligra22 29920 2300
shortest-orkut ligra24 29982 2140
shortest-orkut ligra26 29980 2050
shortest-orkut ligra28 30002 1900
shortest-orkut ligra30 28939 1820
shortest-orkut ligra32 28939 1700

shortest-livejournal ligra1 41480 12200
shortest-livejournal ligra2 34580 7800
shortest-livejournal ligra4 27540 5460
shortest-livejournal ligra6 23190 4000
shortest-livejournal ligra8 20370 3360
shortest-livejournal ligra10 19660 2650
shortest-livejournal ligra12 18700 2200
shortest-livejournal ligra14 17730 1980
shortest-livejournal ligra16 18397 1850
shortest-livejournal ligra18 17570 1710
shortest-livejournal ligra20 18104 1560
shortest-livejournal ligra22 17894 1480
shortest-livejournal ligra24 17634 1380
shortest-livejournal ligra26 17600 1330
shortest-livejournal ligra28 17174 1370
shortest-livejournal ligra30 16704 1340
shortest-livejournal ligra32 17614 1520
