shortest-usairports500-coord th1
facts_derived: 2439070
facts_sent: 2438070
facts_deleted: 2277872
facts_end: 164372
shortest-twitter-coord th1
facts_derived: 73502879
facts_sent: 73420960
facts_deleted: 70657231
facts_end: 4532665
shortest-email-coord th1
facts_derived: 24011963
facts_sent: 23624360
facts_deleted: 20208297
facts_end: 3085504
shortest-oclinks-coord th1
facts_derived: 52822299
facts_sent: 52818501
facts_deleted: 50636747
facts_end: 2203536
shortest-uspowergrid-coord th1
facts_derived: 135573960
facts_sent: 135564078
facts_deleted: 111160479
facts_end: 24426669
shortest-orkut-coord th1
facts_derived: 100424002
facts_sent: 97351559
facts_deleted: 97432100
facts_end: 100647340
shortest-livejournal-coord th1
facts_derived: 134757916
facts_sent: 128943062
facts_deleted: 126851112
facts_end: 71595285
