min-max-tictactoe th1 1707967 4718599 30 42 2
min-max-tictactoe th2 854489 4718606 60 80 2
min-max-tictactoe th4 407110 3735580 119 150 2
min-max-tictactoe th6 244312 3440682 177 216 2
min-max-tictactoe th8 169806 3416120 236 275 2
min-max-tictactoe th10 154639 3571782 295 348 2
min-max-tictactoe th12 100596 3428436 354 396 2
min-max-tictactoe th14 62468 2850914 413 446 2
min-max-tictactoe th16 74074 3367024 472 516 2
min-max-tictactoe th18 58298 3244158 530 568 2
min-max-tictactoe th20 30755 2478220 589 604 2
min-max-tictactoe th22 56154 3887258 648 699 2
min-max-tictactoe th24 38916 3444904 707 739 2
min-max-tictactoe-big th1 14197465 37748743 30 48 2
min-max-tictactoe-big th2 6122488 28311566 60 90 2
min-max-tictactoe-big th4 3006064 34209820 119 170 2
min-max-tictactoe-big th6 2340428 34603050 177 256 2
min-max-tictactoe-big th8 1526117 35389496 236 332 2
min-max-tictactoe-big th10 1200102 29229126 295 406 2
min-max-tictactoe-big th12 821455 27721812 354 473 2
min-max-tictactoe-big th14 706644 27197538 413 538 2
min-max-tictactoe-big th16 619573 31719536 472 621 2
min-max-tictactoe-big th18 467777 29294718 530 680 2
min-max-tictactoe-big th20 354847 24543372 589 741 2
min-max-tictactoe-big th22 309294 25223322 648 809 2
min-max-tictactoe-big th24 407187 29343912 707 868 2
min-max-tictactoe th24 41495 3084456 761 742 2
min-max-tictactoe th26 26061 2113974 824 715 2
min-max-tictactoe th28 32271 3254468 888 840 2
min-max-tictactoe th30 20700 2146002 951 790 2
min-max-tictactoe th32 25011 2914528 1014 953 2
min-max-tictactoe-big th26 310348 26689718 824 950 2
min-max-tictactoe-big th28 252600 25657540 888 1022 2
min-max-tictactoe-big th30 220880 25366738 951 1057 2
min-max-tictactoe-big th32 198203 25710816 1014 1123 2
