shortest-email ligra1 4173
shortest-email ligra2 3091
shortest-email ligra4 2447
shortest-email ligra6 2259
shortest-email ligra8 2225
shortest-email ligra10 2181
shortest-email ligra12 2148
shortest-email ligra14 2076
shortest-email ligra16 2047
shortest-email ligra18 2059
shortest-email ligra20 2064
shortest-email ligra22 1956
shortest-email ligra24 1868
shortest-email ligra26 1884
shortest-email ligra28 2036
shortest-email ligra30 1881
shortest-email ligra32 1997
shortest-oclinks ligra1 4915
shortest-oclinks ligra2 3942
shortest-oclinks ligra4 3595
shortest-oclinks ligra6 3049
shortest-oclinks ligra8 2954
shortest-oclinks ligra10 3026
shortest-oclinks ligra12 2986
shortest-oclinks ligra14 3283
shortest-oclinks ligra16 3474
shortest-oclinks ligra18 3773
shortest-oclinks ligra20 3729
shortest-oclinks ligra22 4027
shortest-oclinks ligra24 4721
shortest-oclinks ligra26 5078
shortest-oclinks ligra28 5287
shortest-oclinks ligra30 5436
shortest-oclinks ligra32 6168
shortest-twitter ligra1 8829
shortest-twitter ligra2 6011
shortest-twitter ligra4 3872
shortest-twitter ligra6 2943
shortest-twitter ligra8 2594
shortest-twitter ligra10 2173
shortest-twitter ligra12 1908
shortest-twitter ligra14 1817
shortest-twitter ligra16 1785
shortest-twitter ligra18 1630
shortest-twitter ligra20 1544
shortest-twitter ligra22 1443
shortest-twitter ligra24 1393
shortest-twitter ligra26 1395
shortest-twitter ligra28 1309
shortest-twitter ligra30 1313
shortest-twitter ligra32 1292
shortest-uspowergrid ligra1 16142
shortest-uspowergrid ligra2 14225
shortest-uspowergrid ligra4 14135
shortest-uspowergrid ligra6 14778
shortest-uspowergrid ligra8 17080
shortest-uspowergrid ligra10 17092
shortest-uspowergrid ligra12 19570
shortest-uspowergrid ligra14 19521
shortest-uspowergrid ligra16 25046
shortest-uspowergrid ligra18 24282
shortest-uspowergrid ligra20 26960
shortest-uspowergrid ligra22 28329
shortest-uspowergrid ligra24 30656
shortest-uspowergrid ligra26 34381
shortest-uspowergrid ligra28 35441
shortest-uspowergrid ligra30 40425
shortest-uspowergrid ligra32 44289
shortest-orkut ligra1 62500
shortest-orkut ligra2 40461
shortest-orkut ligra4 29023
shortest-orkut ligra6 25092
shortest-orkut ligra8 18997
shortest-orkut ligra10 15458
shortest-orkut ligra12 13239
shortest-orkut ligra14 11971
shortest-orkut ligra16 11100
shortest-orkut ligra18 10474
shortest-orkut ligra20 9595
shortest-orkut ligra22 9280
shortest-orkut ligra24 8687
shortest-orkut ligra26 8341
shortest-orkut ligra28 7767
shortest-orkut ligra30 7243
shortest-orkut ligra32 6788
shortest-livejournal ligra1 46480
shortest-livejournal ligra2 27743
shortest-livejournal ligra4 16273
shortest-livejournal ligra6 10619
shortest-livejournal ligra8 8320
shortest-livejournal ligra10 6869
shortest-livejournal ligra12 6024
shortest-livejournal ligra14 4742
shortest-livejournal ligra16 4851
shortest-livejournal ligra18 4540
shortest-livejournal ligra20 4161
shortest-livejournal ligra22 4131
shortest-livejournal ligra24 3724
shortest-livejournal ligra26 3523
shortest-livejournal ligra28 3578
shortest-livejournal ligra30 3799
shortest-livejournal ligra32 3525
