shortest-usairports500 th1
facts_derived: 2913481
facts_sent: 2912481
facts_deleted: 2752283
facts_end: 164372
shortest-twitter th1
facts_derived: 357537283
facts_sent: 357453197
facts_deleted: 354721419
facts_end: 4532665
shortest-email th1
facts_derived: 35449932
facts_sent: 34973746
facts_deleted: 32762942
facts_end: 3085504
shortest-oclinks th1
facts_derived: 64992056
facts_sent: 64988258
facts_deleted: 62806504
facts_end: 2203536
shortest-uspowergrid th1
facts_derived: 207678766
facts_sent: 207668884
facts_deleted: 183265285
facts_end: 24426669
shortest-orkut th1
facts_derived: 251036125
facts_sent: 247963682
facts_deleted: 248044223
facts_end: 100647340
shortest-livejournal th1
facts_derived: 731885554
facts_sent: 721471069
facts_deleted: 723978750
facts_end: 71595285
