powergrid-50000 th1 817 814 819 -> 816
powergrid-50000 th2 443 437 440 -> 440
powergrid-50000 th4 232 230 230 -> 230
powergrid-50000 th6 161 161 161 -> 161
powergrid-50000 th8 125 125 131 -> 127
powergrid-50000 th10 103 104 104 -> 103
powergrid-50000 th12 94 93 94 -> 93
powergrid-50000 th14 88 85 87 -> 86
powergrid-50000 th16 79 82 80 -> 80
powergrid-50000 th18 75 75 77 -> 75
powergrid-50000 th20 74 75 72 -> 73
powergrid-50000 th22 73 70 69 -> 70
powergrid-50000 th24 87 71 69 -> 75
powergrid-50000 th26 74 72 75 -> 73
powergrid-50000 th28 70 72 75 -> 72
powergrid-50000 th30 71 110 72 -> 84
powergrid-50000 th32 85 146 74 -> 101
powergrid-50000-coord th1 969 980 970 -> 973
powergrid-50000-coord th2 401 400 404 -> 401
powergrid-50000-coord th4 184 182 187 -> 184
powergrid-50000-coord th6 126 129 124 -> 126
powergrid-50000-coord th8 96 95 94 -> 95
powergrid-50000-coord th10 81 83 98 -> 87
powergrid-50000-coord th12 73 71 72 -> 72
powergrid-50000-coord th14 73 70 94 -> 79
powergrid-50000-coord th16 65 64 67 -> 65
powergrid-50000-coord th18 64 63 67 -> 64
powergrid-50000-coord th20 65 64 61 -> 63
powergrid-50000-coord th22 63 160 86 -> 103
powergrid-50000-coord th24 69 143 72 -> 94
powergrid-50000-coord th26 72 64 64 -> 66
powergrid-50000-coord th28 68 66 68 -> 67
powergrid-50000-coord th30 70 68 70 -> 69
powergrid-50000-coord th32 85 94 73 -> 84
powergrid-500000 th1 82424 82414 82475 -> 82437
powergrid-500000 th2 45723 45913 45464 -> 45700
powergrid-500000 th4 25841 25756 25938 -> 25845                                                                          powergrid-500000 th6 17383 17333 17458 -> 17391                                                                          powergrid-500000 th8 13458 13463 13532 -> 13484
powergrid-500000 th10 11184 11155 11161 -> 11166
powergrid-500000 th12 9485 9619 9642 -> 9582
powergrid-500000 th14 8171 8050 8202 -> 8141
powergrid-500000 th16 7259 7230 7162 -> 7217
powergrid-500000 th18 6549 6534 6603 -> 6562
powergrid-500000 th20 6054 6068 6114 -> 6078
powergrid-500000 th22 5568 5633 5581 -> 5594
powergrid-500000 th24 5296 5172 5315 -> 5261
powergrid-500000 th26 5016 4979 4945 -> 4980
powergrid-500000 th28 4686 4677 4686 -> 4683
powergrid-500000 th30 4435 4578 4387 -> 4466
powergrid-500000 th32 4208 4282 4318 -> 4269
powergrid-500000-coord th1 12814 12613 12875 -> 12767
powergrid-500000-coord th2 4935 5026 4922 -> 4961
powergrid-500000-coord th4 2307 2406 2481 -> 2398
powergrid-500000-coord th6 1263 1315 1251 -> 1276
powergrid-500000-coord th8 1035 940 969 -> 981
powergrid-500000-coord th10 809 800 776 -> 795
powergrid-500000-coord th12 695 702 691 -> 696
powergrid-500000-coord th14 629 617 623 -> 623
powergrid-500000-coord th16 549 613 579 -> 580
powergrid-500000-coord th18 518 531 537 -> 528
powergrid-500000-coord th20 517 542 511 -> 523
powergrid-500000-coord th22 569 498 510 -> 525
powergrid-500000-coord th24 486 578 478 -> 514
powergrid-500000-coord th26 482 467 525 -> 491
powergrid-500000-coord th28 477 498 460 -> 478
powergrid-500000-coord th30 442 441 459 -> 447
powergrid-500000-coord th32 478 470 492 -> 480


powergrid-1000000 th1 23546 23641 23637 -> 23608
powergrid-1000000 th2 12203 12301 12127 -> 12210
powergrid-1000000 th4 6337 6257 6320 -> 6304
powergrid-1000000 th6 4292 4223 4223 -> 4246
powergrid-1000000 th8 3589 3628 3444 -> 3553
powergrid-1000000 th10 3021 3066 3007 -> 3031
powergrid-1000000 th12 2633 2369 2630 -> 2544
powergrid-1000000 th14 2041 2068 1990 -> 2033
powergrid-1000000 th16 1733 1746 1730 -> 1736
powergrid-1000000 th18 1573 1568 1550 -> 1563
powergrid-1000000 th20 1518 1522 1518 -> 1519
powergrid-1000000 th22 1365 1379 1371 -> 1371
powergrid-1000000 th24 1276 1282 1283 -> 1280
powergrid-1000000 th26 1213 1225 1215 -> 1217
powergrid-1000000 th28 1143 1145 1300 -> 1196
powergrid-1000000 th30 1091 1086 1090 -> 1089
powergrid-1000000 th32 1055 1051 1050 -> 1052
powergrid-1000000-coord th1 32144 32432 32030 -> 32202
powergrid-1000000-coord th2 12810 12903 12674 -> 12795
powergrid-1000000-coord th4 5633 5625 5649 -> 5635
powergrid-1000000-coord th6 3860 3836 3992 -> 3896
powergrid-1000000-coord th8 3108 3024 3437 -> 3189
powergrid-1000000-coord th10 2718 2715 2693 -> 2708
powergrid-1000000-coord th12 1779 1872 1775 -> 1808
powergrid-1000000-coord th14 2275 2126 2247 -> 2216
powergrid-1000000-coord th16 1617 1705 1575 -> 1632
powergrid-1000000-coord th18 1418 1379 1380 -> 1392
powergrid-1000000-coord th20 1305 1296 1274 -> 1291
powergrid-1000000-coord th22 1208 1195 1190 -> 1197
powergrid-1000000-coord th24 1148 1128 1152 -> 1142
powergrid-1000000-coord th26 1058 1149 1064 -> 1090
powergrid-1000000-coord th28 1058 1006 1004 -> 1022
powergrid-1000000-coord th30 978 978 978 -> 978
powergrid-1000000-coord th32 953 958 951 -> 954
powergrid-1000000-2 th1 43795 45598 45441 -> 44944
powergrid-1000000-2 th2 23742 23625 23658 -> 23675
powergrid-1000000-2 th4 12025 12173 12123 -> 12107
powergrid-1000000-2 th6 8458 8102 8506 -> 8355
powergrid-1000000-2 th8 6483 6546 6580 -> 6536
powergrid-1000000-2 th10 5480 5505 5448 -> 5477
powergrid-1000000-2 th12 4537 4554 4607 -> 4566
powergrid-1000000-2 th14 3985 4052 3969 -> 4002
powergrid-1000000-2 th16 3572 3476 3534 -> 3527
powergrid-1000000-2 th18 3107 3148 3138 -> 3131
powergrid-1000000-2 th20 3134 3156 3219 -> 3169
powergrid-1000000-2 th22 2905 2909 2873 -> 2895
powergrid-1000000-2 th24 2680 2752 2661 -> 2697
powergrid-1000000-2 th26 2436 2442 2492 -> 2456
powergrid-1000000-2 th28 2382 2278 2271 -> 2310
powergrid-1000000-2 th30 2029 2037 2050 -> 2038
powergrid-1000000-2 th32 1931 1935 1918 -> 1928
powergrid-1000000-2-coord th1 66638 67705 68693 -> 67678
powergrid-1000000-2-coord th2 20697 20494 20765 -> 20652
powergrid-1000000-2-coord th4 7869 7718 7646 -> 7744
powergrid-1000000-2-coord th6 4861 4970 4900 -> 4910
powergrid-1000000-2-coord th8 3635 3847 3667 -> 3716
powergrid-1000000-2-coord th10 3186 3179 3383 -> 3249
powergrid-1000000-2-coord th12 2155 2122 2274 -> 2183
powergrid-1000000-2-coord th14 2506 2444 2451 -> 2467
powergrid-1000000-2-coord th16 1859 2050 2036 -> 1981
powergrid-1000000-2-coord th18 1727 1634 1718 -> 1693
powergrid-1000000-2-coord th20 1464 1511 1477 -> 1484
powergrid-1000000-2-coord th22 1354 1338 1352 -> 1348
powergrid-1000000-2-coord th24 1339 1273 1330 -> 1314
powergrid-1000000-2-coord th26 1270 1227 1231 -> 1242
powergrid-1000000-2-coord th28 1222 1265 1167 -> 1218
powergrid-1000000-2-coord th30 1108 1128 1224 -> 1153
powergrid-1000000-2-coord th32 1111 1073 1085 -> 1089


powergrid-500000-64 th1 50485 50504 50375 -> 50454
powergrid-500000-64 th2 23531 26182 21252 -> 23655
